addr,name
10015397,FUN_10015397
10015440,___acrt_initialize_ptd
10015470,___acrt_uninitialize_ptd
1001548a,FUN_1001548a
100154b7,FUN_100154b7
100154e8,FUN_100154e8
10015515,FUN_10015515
10015546,operator()<<lambda_e5124f882df8998aaf41531e079ba474>,<lambda_3e16ef9562a7dcce91392c22ab16ea36>&,<lambda_e25ca0880e6ef98be67edffd8c599615>_>
100155a8,FUN_100155a8
100155b4,FUN_100155b4
100155c0,___acrt_uninitialize_locale
100155e7,FUN_100155e7
10015621,__malloc_base
1001566f,__acrt_fp_classify
100156d1,fe_to_nearest
10015774,FUN_10015774
10015aa0,FUN_10015aa0
10015b44,FUN_10015b44
10015c89,FUN_10015c89
10015d1f,FUN_10015d1f
10015e0d,FUN_10015e0d
10015edc,FUN_10015edc
10015f71,shift_bytes
10015fa5,should_round_up
10016038,FUN_10016038
100161b9,FUN_100161b9
10016323,FUN_10016323
1001635d,FUN_1001635d
10016490,__fileno
100164c0,___acrt_initialize_stdio
10016590,___acrt_uninitialize_stdio
100165dc,FUN_100165dc
100165f0,__unlock_file
10016604,FUN_10016604
10016619,initialize_inherited_file_handles_nolock
100166cf,FUN_100166cf
10016780,___acrt_initialize_lowio
100167d7,FUN_100167d7
100167e0,___acrt_uninitialize_lowio
1001680c,_iswctype
10016875,__calloc_base
100168d2,fegetround
100168e0,___acrt_initialize_locks
10016921,___acrt_lock
10016940,___acrt_uninitialize_locks
10016971,___acrt_unlock
10016988,___acrt_get_process_end_policy
100169c0,FUN_100169c0
100169d8,__acrt_convert_wcs_mbs_cp<char,wchar_t,<lambda_62f6974d9771e494a5ea317cc32e971c>,__crt_win32_buffer_internal_dynamic_resizing>
10016a8a,FUN_10016a8a
10016b50,__acrt_mbs_to_wcs_cp<__crt_win32_buffer_internal_dynamic_resizing>
10016b6d,FUN_10016b6d
10016cea,FUN_10016cea
10016d9b,FUN_10016d9b
10017020,FUN_10017020
10017049,FID_conflict:operator()
1001706d,__acrt_get_utf8_acp_compatibility_codepage
100170ac,_deallocate
100170c6,allocate
10017102,allocate
10017141,allocate
10017160,expand_if_necessary
100171e7,FUN_100171e7
100171f2,FUN_100171f2
100172b4,allocate
100172db,FUN_100172db
100172ef,___acrt_GetModuleFileNameA
10017390,operator()<<lambda_ceb1ee4838e85a9d631eb091e2fbe199>,<lambda_ae742caa10f662c28703da3d2ea5e57e>&,<lambda_cd08b5d6af4937fe54fc07d0c9bf6b37>_>
100173d1,FUN_100173d1
100173dd,operator()
10017460,CPtoLocaleName
1001749e,getSystemCP
1001750f,FUN_1001750f
10017572,FUN_10017572
1001771e,FUN_1001771e
10017873,FUN_10017873
100178f2,FUN_100178f2
100178fb,FUN_100178fb
10017920,___acrt_initialize_multibyte
10017968,FUN_10017968
1001797b,FUN_1001797b
10017b83,FUN_10017b83
10017bd3,__ismbblead
10017bf0,FUN_10017bf0
10017c09,___acrt_MultiByteToWideChar
10017c85,___acrt_WideCharToMultiByte
10017d3c,find_end_of_double_null_terminated_sequence
10017d73,FUN_10017d73
10017e13,__recalloc_base
10017e80,try_get_AreFileApisANSI
10017e9a,FID_conflict:try_get_LCMapStringEx
10017eb4,try_get_LocaleNameToLCID
10017ece,FUN_10017ece
10017f9a,try_get_function
1001801d,___acrt_AppPolicyGetProcessTerminationMethodInternal@4
1001805d,___acrt_AreFileApisANSI@0
1001807c,___acrt_FlsAlloc@4
100180bb,___acrt_FlsFree@4
100180fa,___acrt_FlsGetValue@4
10018139,___acrt_FlsSetValue@8
1001817b,___acrt_InitializeCriticalSectionEx@12
100181c6,___acrt_LCMapStringEx@36
10018223,___acrt_LocaleNameToLCID@8
10018260,FUN_10018260
10018280,___acrt_uninitialize_winapi_thunks
100182c0,FUN_100182c0
100182e0,FUN_100182e0
100182ea,___acrt_execute_initializers
10018352,___acrt_execute_uninitializers
10018383,FUN_10018383
10018392,__callnewh
100183bf,__query_new_handler
10018412,FUN_10018412
1001841b,___acrt_has_user_matherr
10018433,FUN_10018433
10018450,___acrt_invoke_user_matherr
10018482,FUN_10018482
10018502,FUN_10018502
1001850e,operator()<<lambda_2cc53f568c5a2bb6f192f930a45d44ea>,<lambda_ab61a845afdef5b7c387490eaf3616ee>&,<lambda_c2ffc0b7726aa6be21d5f0026187e748>_>
100185ae,FUN_100185ae
100185ba,common_flush_all
10018607,common_flush_all_should_try_to_flush_stream
1001863a,is_stream_flushable_or_commitable
1001865f,FUN_1001865f
100186c8,FUN_100186c8
1001872d,__flushall
10018736,___acrt_LCMapStringW
10018774,___acrt_add_locale_ref
100187f1,___acrt_free_locale
10018939,___acrt_locale_add_lc_time_reference
10018962,___acrt_locale_free_lc_time_if_unreferenced
10018993,___acrt_locale_release_lc_time_reference
100189bc,___acrt_release_locale_ref
10018a3d,FUN_10018a3d
10018a9d,FUN_10018a9d
10018aa6,FUN_10018aa6
10018abe,__updatetlocinfoEx_nolock
10018b0e,___acrt_locale_free_monetary
10018c0c,___acrt_locale_free_numeric
10018c75,FUN_10018c75
10018c9a,___acrt_locale_free_time
10018d7e,FUN_10018d7e
10018e87,FUN_10018e87
10018ea7,FUN_10018ea7
10018eae,FUN_10018eae
10018f2c,FUN_10018f2c
10019026,FUN_10019026
